l,pi_prime_l,pi_l
0,0.007589285714285714,0.0008928571428571428
1,0.033035714285714286,0.0026785714285714286
2,0.05848214285714286,0.004464285714285714
3,0.08392857142857142,0.007142857142857143
4,0.109375,0.008035714285714285
5,0.13482142857142856,0.009821428571428571
6,0.16026785714285716,0.0125
7,0.18571428571428572,0.014285714285714285
8,0.21116071428571428,0.01607142857142857
9,0.23660714285714285,0.019196428571428573
10,0.26205357142857144,0.020982142857142855
11,0.2875,0.022321428571428572
12,0.31294642857142857,0.023660714285714285
13,0.33839285714285716,0.024553571428571428
14,0.3638392857142857,0.026785714285714284
15,0.3892857142857143,0.027232142857142858
16,0.4147321428571429,0.028125
17,0.4401785714285714,0.03080357142857143
18,0.465625,0.033482142857142856
19,0.49107142857142855,0.03482142857142857
20,0.5165178571428571,0.03794642857142857
21,0.5419642857142857,0.039285714285714285
22,0.5674107142857143,0.04151785714285714
23,0.5928571428571429,0.044642857142857144
24,0.6183035714285714,0.045535714285714284
25,0.64375,0.04776785714285714
26,0.6691964285714286,0.05044642857142857
27,0.6946428571428571,0.05223214285714286
28,0.7200892857142858,0.05357142857142857
29,0.7455357142857143,0.05625
30,0.7709821428571428,0.05892857142857143
31,0.7964285714285714,0.061160714285714284
32,0.821875,0.06383928571428571
33,0.8473214285714286,0.065625
34,0.8727678571428571,0.06651785714285714
35,0.8982142857142857,0.06830357142857142
36,0.9236607142857143,0.06964285714285715
37,0.9491071428571428,0.07053571428571428
38,0.9745535714285715,0.07321428571428572
39,1.0,0.07455357142857143
