l,pi_prime_l,pi_l
0,0.0718562874251497,0.02544642857142857
1,0.11976047904191617,0.05089285714285714
2,0.18562874251497005,0.07633928571428572
3,0.2155688622754491,0.10178571428571428
4,0.2934131736526946,0.12723214285714285
5,0.32335329341317365,0.15267857142857144
6,0.38922155688622756,0.178125
7,0.4431137724550898,0.20357142857142857
8,0.5029940119760479,0.22901785714285713
9,0.5329341317365269,0.2544642857142857
10,0.5508982035928144,0.2799107142857143
11,0.6047904191616766,0.3053571428571429
12,0.6526946107784432,0.3308035714285714
13,0.6646706586826348,0.35625
14,0.6646706586826348,0.38169642857142855
15,0.6766467065868264,0.40714285714285714
16,0.7065868263473054,0.43258928571428573
17,0.7365269461077845,0.45803571428571427
18,0.7604790419161677,0.48348214285714286
19,0.7844311377245509,0.5089285714285714
20,0.8143712574850299,0.534375
21,0.8682634730538922,0.5598214285714286
22,0.8682634730538922,0.5852678571428571
23,0.8802395209580839,0.6107142857142858
24,0.8802395209580839,0.6361607142857143
25,0.8802395209580839,0.6616071428571428
26,0.9041916167664671,0.6870535714285714
27,0.9101796407185628,0.7125
28,0.9101796407185628,0.7379464285714286
29,0.9221556886227545,0.7633928571428571
30,0.9281437125748503,0.7888392857142857
31,0.9401197604790419,0.8142857142857143
32,0.9401197604790419,0.8397321428571428
33,0.9520958083832335,0.8651785714285715
34,0.9640718562874252,0.890625
35,0.9640718562874252,0.9160714285714285
36,0.9760479041916168,0.9415178571428572
37,0.9880239520958084,0.9669642857142857
38,0.9880239520958084,0.9924107142857143
39,1.0,1.0
