l,pi_prime_l,pi_l
0,0.007589285714285714,0.0008928571428571428
1,0.033035714285714286,0.0040178571428571425
2,0.05848214285714286,0.007142857142857143
3,0.08392857142857142,0.008928571428571428
4,0.109375,0.010714285714285714
5,0.13482142857142856,0.011160714285714286
6,0.16026785714285716,0.012946428571428572
7,0.18571428571428572,0.014732142857142857
8,0.21116071428571428,0.016964285714285713
9,0.23660714285714285,0.01875
10,0.26205357142857144,0.02142857142857143
11,0.2875,0.023214285714285715
12,0.31294642857142857,0.026785714285714284
13,0.33839285714285716,0.028125
14,0.3638392857142857,0.029464285714285714
15,0.3892857142857143,0.03214285714285714
16,0.4147321428571429,0.032589285714285716
17,0.4401785714285714,0.033035714285714286
18,0.465625,0.03571428571428571
19,0.49107142857142855,0.03660714285714286
20,0.5165178571428571,0.039285714285714285
21,0.5419642857142857,0.04196428571428571
22,0.5674107142857143,0.04285714285714286
23,0.5928571428571429,0.046875
24,0.6183035714285714,0.048214285714285716
25,0.64375,0.05044642857142857
26,0.6691964285714286,0.05178571428571429
27,0.6946428571428571,0.05357142857142857
28,0.7200892857142858,0.054464285714285715
29,0.7455357142857143,0.055357142857142855
30,0.7709821428571428,0.05848214285714286
31,0.7964285714285714,0.059375
32,0.821875,0.061160714285714284
33,0.8473214285714286,0.06473214285714286
34,0.8727678571428571,0.06607142857142857
35,0.8982142857142857,0.06919642857142858
36,0.9236607142857143,0.07098214285714285
37,0.9491071428571428,0.071875
38,0.9745535714285715,0.07321428571428572
39,1.0,0.07455357142857143
