l,pi_prime_l,pi_l
0,0.07784431137724551,0.02544642857142857
1,0.1497005988023952,0.05089285714285714
2,0.23353293413173654,0.07633928571428572
3,0.31137724550898205,0.10178571428571428
4,0.33532934131736525,0.12723214285714285
5,0.38323353293413176,0.15267857142857144
6,0.46107784431137727,0.178125
7,0.47904191616766467,0.20357142857142857
8,0.5209580838323353,0.22901785714285713
9,0.5568862275449101,0.2544642857142857
10,0.5808383233532934,0.2799107142857143
11,0.6107784431137725,0.3053571428571429
12,0.6526946107784432,0.3308035714285714
13,0.6946107784431138,0.35625
14,0.7365269461077845,0.38169642857142855
15,0.7964071856287425,0.40714285714285714
16,0.8143712574850299,0.43258928571428573
17,0.8383233532934131,0.45803571428571427
18,0.8622754491017964,0.48348214285714286
19,0.8922155688622755,0.5089285714285714
20,0.9161676646706587,0.534375
21,0.9281437125748503,0.5598214285714286
22,0.9401197604790419,0.5852678571428571
23,0.9520958083832335,0.6107142857142858
24,0.9580838323353293,0.6361607142857143
25,0.9580838323353293,0.6616071428571428
26,0.9580838323353293,0.6870535714285714
27,0.9700598802395209,0.7125
28,0.9700598802395209,0.7379464285714286
29,0.9700598802395209,0.7633928571428571
30,0.9700598802395209,0.7888392857142857
31,0.9700598802395209,0.8142857142857143
32,0.9760479041916168,0.8397321428571428
33,0.9820359281437125,0.8651785714285715
34,0.9880239520958084,0.890625
35,0.9880239520958084,0.9160714285714285
36,0.9940119760479041,0.9415178571428572
37,0.9940119760479041,0.9669642857142857
38,0.9940119760479041,0.9924107142857143
39,1.0,1.0
